ad_set,ad,topic,final_url,final_url_utm,description
Credit Card,CC_Lawsuit,Sued over a card,https://start.credolegal.com/credit-card-debt-lawsuit-respond,https://start.credolegal.com/credit-card-debt-lawsuit-respond?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_v3&utm_content=CC_Lawsuit,Flat monthly fee. Attorneys licensed in your state.
Credit Card,CC_Harassment,Collector harassment,https://start.credolegal.com/credit-card-debt-stop-calls,https://start.credolegal.com/credit-card-debt-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_v3&utm_content=CC_Harassment,"Flat monthly fee. We talk to them, not you."
Credit Card,CC_Negotiation,Negotiate the balance,https://start.credolegal.com/credit-card-debt-negotiation,https://start.credolegal.com/credit-card-debt-negotiation?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_v3&utm_content=CC_Negotiation,Flat monthly fee. Attorney-led from day one.
Lawsuit,Collection_Lawsuit,Collection lawsuit,https://start.credolegal.com/debt-lawsuit-respond-on-time,https://start.credolegal.com/debt-lawsuit-respond-on-time?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_v3&utm_content=Collection_Lawsuit,Flat monthly fee. Attorneys licensed in your state.
Lawsuit,Creditor_Suing,Creditor suing you,https://start.credolegal.com/debt-lawsuit-attorney,https://start.credolegal.com/debt-lawsuit-attorney?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_v3&utm_content=Creditor_Suing,Flat monthly fee. We level the field.
Lawsuit,Served_Papers,Just got served,https://start.credolegal.com/debt-lawsuit-summons-respond,https://start.credolegal.com/debt-lawsuit-summons-respond?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_v3&utm_content=Served_Papers,Flat monthly fee. It's not too late to respond.
Harassment,Creditor_Harassment,Creditor harassment,https://start.credolegal.com/debt-harassment-stop-calls,https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_v3&utm_content=Creditor_Harassment,"Flat monthly fee. We talk to them, not you."
Harassment,FDCPA_Harassment,FDCPA violations,https://start.credolegal.com/debt-harassment-fdcpa-attorney,https://start.credolegal.com/debt-harassment-fdcpa-attorney?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_v3&utm_content=FDCPA_Harassment,Flat monthly fee. We sue them for breaking the rules.
Harassment,Multiple_Collectors,Multiple collectors,https://start.credolegal.com/multiple-collectors-one-attorney,https://start.credolegal.com/multiple-collectors-one-attorney?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_v3&utm_content=Multiple_Collectors,Flat monthly fee. One team for all of them.
Medical Debt,Medical_Harassment,Medical collector calls,https://start.credolegal.com/medical-debt-bills-errors,https://start.credolegal.com/medical-debt-bills-errors?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_v3&utm_content=Medical_Harassment,Flat monthly fee. We make them prove it.
Medical Debt,Medical_Lawsuit,Medical debt lawsuit,https://start.credolegal.com/medical-debt-lawsuit-respond,https://start.credolegal.com/medical-debt-lawsuit-respond?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_v3&utm_content=Medical_Lawsuit,Flat monthly fee. Attorneys licensed in your state.
Medical Debt,Medical_Rights,Do you owe it?,https://start.credolegal.com/medical-debt-credit-report-removal,https://start.credolegal.com/medical-debt-credit-report-removal?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_v3&utm_content=Medical_Rights,Flat monthly fee. We make them prove you owe it.
Garnishment,Pre_Judgment_Garn,Prevent garnishment,https://start.credolegal.com/wage-garnishment-prevention,https://start.credolegal.com/wage-garnishment-prevention?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_v3&utm_content=Pre_Judgment_Garn,Flat monthly fee. Act before the judgment lands.
Garnishment,Post_Judgment_Garn,Active garnishment,https://start.credolegal.com/wage-garnishment-exemptions,https://start.credolegal.com/wage-garnishment-exemptions?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_v3&utm_content=Post_Judgment_Garn,Flat monthly fee. You may qualify for exemptions.
